"Wikipage revision ID","label","Wikipage page ID"
"539405317","Château de Gironville","33593029"
"","Klågerup Castle",""
"","Shibata Castle",""
"","Château de Mursay",""
"","Audunborg",""
"","Castillo Hamamatsu",""
"","Burg Bernstein (Burgenland)",""
"","Cruggleton Castle",""
"","Deganwy Castle",""
"","Castillo Gujō Hachiman",""
"","Burgruine Gösting",""
"","八戸城",""
"","Kakegawa Castle",""
"","Burg Sokolac",""
"","Schloss Toffen",""
"","قلعة الكهف",""
"","Altenbaumburg",""
"","Creich Castle",""
"","Burg Ebernburg",""
"598817447","Neu Baumburg","26989060"
