"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"Première Ligue de Soccer du Québec 2015","46518667","683172617","http://www.plsq.ca/"
"2015 Renault Sport Trophy season","46491625","683146350","http://www.renault-sport.com/en/"
"2015 Ritsumeikan Panthers football team","47988308","683625945","http://www.ritsumeikanpanthers.com"
"2015 Salina Bombers season","46692205","682241133","http://www.salinabombers.com/"
"2015 San Angelo Bandits season","46648826","683098594","http://www.sabandits.com/"
"STCC 2015","46582575","683274083","http://www.stcc.se/"
"2015 Sky Blue FC season","46466906","683012972","http://skybluefc.com"
"2015 South Carolina Gamecocks baseball team","45685818","682486283","http://gamecocksonline.cstv.com/sports/m-basebl/scar-m-basebl-body-main.html"
"2015 TCR Portuguese Series season","45706559","682376098",""
"2015 TCR Russian Series season","46296461","683790814",""
"2015 Toronto FC II season","46180017","682710804","http://www.tfc2.ca/"
"2015 UCLA Bruins baseball team","46796595","667590223","http://www.uclabruins.com/"
"2015 Valur season","46563688","683535545","http://www.valur.is"
"2015 Washington Spirit season","46477506","683013053","http://washingtonspirit.com"
"2015 Western New York Flash season","46451063","683013136","http://wnyflash.com"
"2015 Wichita Force season","46670416","683645193","http://www.wichitaforce.com/"
"2. Fußball-Bundesliga 2015/16","46746848","683930464","http://www.bundesliga.de"
"2015–16 A-League National Youth League","47989046","683744874","http://www.y-league.com.au"
"Kategoria Superiore 2015/16","46878440","683497706","http://www.fshf.org/"
"Saison 2015-2016 de l'Atlético Madrid","46835595","683757033","http://en.clubatleticodemadrid.com/"
