"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page","builder"
"47150941","681873600","GE UM12C","http://thedieselshop.us/GE_UM12C.HTML","http://dbpedia.org/resource/GE_Transportation"
"47520983","678410107","国鉄C11形蒸気機関車","",""
"47164480","","St. Louis–San Francisco 4500","",""
"47903704","683390604","EMD SD70ACu","http://www.altoonaworks.info/rebuilds/ns_sd70acu.html","http://dbpedia.org/resource/Norfolk_Southern_Railway"
"47895318","683278210","GE Dash 8.5-40CW","http://www.nsdash9.com/rosters/8500.html","http://dbpedia.org/resource/Norfolk_Southern_Railway"
"47609395","677720829","LCDR Engima class","",""
"47602172","677720848","LCDR Europa class","",""
"47972760","683571529","New York Central 2933","","http://dbpedia.org/resource/American_Locomotive_Company"
"47602802","679688587","141 T Nord 4.1201 à 4.1272","",""
"47568450","676951410","Queensland A10 Avonside class locomotive","","Slaughter/Grüning/Avonside Engine Company"
"47871647","682567949","Reading T-1","","http://dbpedia.org/resource/Baldwin_Locomotive_Works"
"47578673","680454932","SŽD-Baureihe Ээл","","E el-12: Kolomna Works"
"47571515","680454947","SŽD-Baureihe Ээл2","","http://dbpedia.org/resource/Maschinenfabrik_Esslingen"
"47580868","680454956","SŽD-Baureihe Ээл8","","Krupp, works no. 1200"
"47592816","680454984","SŽD-Baureihe ТЭ2","http://www.parovoz.com/newgallery/pg_view.php?ID=23618&LNG=RU#picture","Kharkov, Ukraine"
"47595980","680455002","SŽD-Baureihe ТЭ5","","Kharkov, Ukraine"
"47615334","680455014","SŽD-Baureihe ВЛ19","",""
"47564330","680455024","SŽD-Baureihe ВМ20","",""
"47569875","680454966","SŽD-Baureihe Щэл1","","Designer: Yakov Gakkel"
"47796069","680713506","SJ E10","http://www.skaj.se/",""
