"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic","Anton Shipilov","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic"
"http://dbpedia.org/resource/Guimarães","Armando Evangelista","http://dbpedia.org/resource/Guimarães"
"http://dbpedia.org/resource/Yerevan","Ashot Barseghyan","http://dbpedia.org/resource/Yerevan"
"http://dbpedia.org/resource/Budapest","Balázs Bekő","http://dbpedia.org/resource/Budapest"
"","Boaz Kofman","http://dbpedia.org/resource/Israel"
"","Bob Butehorn",""
"http://dbpedia.org/resource/Konjic","Bojan Magazin","http://dbpedia.org/resource/Konjic"
"","Carlos Somoano",""
"","Chung Sang-nam",""
"","Daniel Oldrá","http://dbpedia.org/resource/Mendoza_Province"
"http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic","Denis Spirin","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic"
"","Dmïtrïý Mamonov",""
"","Горбатенко, Дмитрий Георгиевич",""
"Cardiff, Wales","Drew Sherman","http://dbpedia.org/resource/Cardiff"
"","George Gates (footballer)",""
"http://dbpedia.org/resource/Honduras","German Pérez","http://dbpedia.org/resource/Honduras"
"","Goran Sretenović",""
"http://dbpedia.org/resource/Sassuolo","Guido Corbelli","http://dbpedia.org/resource/Sassuolo"
"Kalemie, Zaire","Guy Kiala","http://dbpedia.org/resource/Kalemie"
"http://dbpedia.org/resource/Rio_de_Janeiro","Gérson Andreotti","http://dbpedia.org/resource/Rio_de_Janeiro"
