"Wikipage revision ID","label","Wikipage page ID"
"546447867","Château de Rosendal","23523442"
"","Burg Sumpu",""
"","Tachibana castle",""
"","Château de Bostfranchet",""
"","Château de Grégy",""
"","Château de La Palice",""
"","Burg Lagarde",""
"","Château de la Celle",""
"","Burg Palanok",""
"","Burg Rocher",""
"","Château de Bar sur Seine",""
"","Château de Montcornet",""
"","Fort Senneville",""
"","Castillo Kagoshima",""
"","Castillo Kawagoe",""
"","Sausenburg",""
"","Burg Uwajima",""
"","Burg Kaisersberg",""
"","Burg Neu-Montfort",""
"639953961","Castello Piccolomini (Capestrano)","44866993"
