"Wikipage revision ID","label","Wikipage page ID"
"676703418","Festival des Nuits Romantiques","46984138"
"681712198","New York Summer Music Festival","47791236"
"655953367","Rock Comic Con","46288240"
"","Moonrise (festival)","47289316"
"","Untold Festival","47421741"
"682144393","Crimea in the Bala Türkvizyon Song Contest","47785662"
"681792541","Dagestan in the Türkvizyon Song Contest","47785718"
"682992400","Kabardino-Balkaria in the Bala Türkvizyon Song Contest","47893617"
"682144664","Khakassia in the Bala Türkvizyon Song Contest","47678790"
"","リーズ音楽祭",""
"","Chanson de l'Année",""
"","Warsaw Autumn",""
"","BW Summer Festival","43784491"
"","King Biscuit Blues Festival",""
"","Ponce in the Park",""
"","Compass Point Festival",""
"","Edmonton's Labatt Blues Festival",""
"","Trutnov Open Air Music Festival",""
"","Viljandi Folk Music Festival",""
"","Festa Italiana",""
