"Wikipage page ID","apsis","Wikipage revision ID","label"
"47578342","gee","677013486","Luch 5V"
"47589007","","677761812","MW 18014"
"47090372","","679369696","Mangalyaan 2"
"47973079","","683709427","Progress M-29M"
"47687143","","679048842","ROBUSTA-1B"
"47987054","","683721341","Sky Muster"
"47104648","","675909785","Soyouz MS-04"
"47104718","","679722514","Soyouz MS-05"
"47106444","","669134834","ViaSat-2"
"","","","Advanced Land Observation Satellite"
"207169","","683376605","Alouette 1"
"697544","","599751588","Alouette 2"
"","","","Artemis (Satellit)"
"39286355","","586265906","BIRD"
"","","","Beagle 2"
"","","","Chandra X-ray Observatory"
"575664","","","Chang'e 1"
"","","","تشانغ آه-2"
"","","","تشانج آه 3"
"36190190","","680296073","嫦娥4号"
