"class","Wikipage page ID","label","appmag v","Wikipage revision ID"
"A1V","47294243","3 Corvi","5.47","672378619"
"B3 Ia","47524614","3 Geminorum","5.75","676075388"
"","47520852","51 Eridani","","682128877"
"K1III","47294401","6 Corvi","5.666","672378566"
"B2IIIv","47405386","BW Vulpeculae","6.44","674145418"
"B0.5 IV","47485605","FN Canis Majoris","","675404728"
"","47253642","HIP 11915","","678065877"
"K0 III","47218879","HR 4699","+5.15","671103133"
"","47318483","Kepler-452","","673385659"
"","47485661","NW Puppis","","675416549"
"B2 II","47486581","PT Puppis","","675417671"
"/","47552191","QX Normae","","676808378"
"F0 IV/V + K5V","47277062","RU Ursae Minoris","10","672175244"
"F0+G0","47295185","RV Corvi","8.6","672408735"
"F7V","47296221","SX Corvi","8.99","672417892"
"G0Ve+K0Ve","47506272","S Coronae Australis","","675750926"
"F0","47294125","TU Corvi","6.53","672377054"
"B9e","47506601","TY Coronae Australis","9.39","675755171"
"F0","47506435","T Coronae Australis","11.67","675753648"
"","","V372 Carinae","",""
