"series","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page","year","label"
"Formula D","46423091","682854360","http://www.formulad.com/","2015","2015 Formula D season"
"","46726288","683977999","http://www.fylkir.is","","2015 Fylkir season"
"Ginetta GT4 Supercup","46331758","683533659","http://www.ginetta.com/championship_supercup","2015","2015 Ginetta GT4 Supercup season"
"","47705686","682135658","http://www.rakhineunitedfc.com/","","2015 Hanthawaddy United season"
"","46487414","683608945","http://menigheden.no","","Idrettsklubben Start 2015"
"","47653463","683104648","http://www.ilbaseball.com","","2015 International League season"
"","46288191","683599538","http://www.jfl.or.jp/jfl-pc/view/s.php?a=1","","第17回日本フットボールリーグ"
"","46346183","683491446","http://www.kr.is","","2015 Knattspyrnufélag Reykjavíkur season"
"","46183915","683696945","http://realmonarchs.com/news/recap/2015/03/real-monarchs-open-inaugural-season-with-a-draw/","","2015 LA Galaxy II season"
"Lamborghini Super Trofeo","47777724","682145599","http://squadracorse.lamborghini.com/en/home/","2015","2015 Lamborghini Super Trofeo season"
"","46489298","683636816","http://www.league1ontario.com/","","2015 League1 Ontario season"
"","47319189","679763180","http://www.themnl.com","","2015 MNL-2"
"","46185777","682674770","http://www.mplfootball.com","","2015 Malabar Premier League season"
"Middle East Rally Championship","45697371","680036650","http://www.merc-fia.com/","2015","2015 Middle East Rally Championship"
"NACAM Rally Championship","45697606","667116606","http://www.nacamrally.com/","","2015 NACAM Rally Championship"
"","46427582","683607805","http://www.oddrane.no","","Odds Ballklubb 2015"
"","46653347","682241560","http://www.beeffootball.com/","","2015 Omaha Beef season"
"","46399167","675235618","http://www.apf.org.py/","","2015 Paraguayan Primera División season"
"Porsche Carrera Cup Italy","46808958","683149035","","2015","2015 Porsche Carrera Cup Italy"
"","46356780","683012860","http://www.portlandthornsfc.com/","","2015 Portland Thorns FC season"
