"Sterbeort","death place","label"
"http://dbpedia.org/resource/Kettering,_Ohio","http://dbpedia.org/resource/Kettering,_Ohio","Dave Reese"
"","","David Mayo (American football)"
"","","Delmas Gooch"
"http://dbpedia.org/resource/West_Orange,_New_Jersey","http://dbpedia.org/resource/West_Orange,_New_Jersey","Dick Abrell"
"","","Jameill Showers"
"","","Jeremiah Price"
"","","Jeremy Butler"
"http://dbpedia.org/resource/Pennsylvania","http://dbpedia.org/resource/Johnstown,_Pennsylvania","John Matsko (American football)"
"","","Johnny Menville"
"","","Jordan Berry"
"","","Jude Adjei-Barimah"
"","","Karl Kremser"
"","","Karl Schmitz"
"","","KeiVarae Russell"
"","","Kenzel Doe"
"","","Kevin Whimpey"
"","","Matt Hanousek"
"","","Miles Dieffenbach"
"","","Mitch Hyatt"
"","","Mitchell Van Dyk"
