"Wikipage page ID","Wikipage revision ID","label"
"45719495","683181845","001 - Launch Week"
"45719582","","002 - Early Stage"
"47716961","680859135","0Rip"
"47317789","673048690","1001 Inventions and the World of Ibn Al-Haytham"
"47871273","681867115","100 latinos dijeron"
"46627692","673084915","12/12/12 (film)"
"46857483","665359582","12秒"
"","","13 Sentinels: Aegis Rim"
"46641762","683658369","14 Days (2014 film)"
"46238844","679286486","1992 (serie televisiva)"
"47327368","673480345","20 Football Transfers That Shocked The World"
"46455517","","21時までのシンデレラ"
"46767487","681691720","24 Hours in the Past"
"46968763","","2PM OF 2PM"
"","","3-Headed Shark Attack"
"47778468","680417746","35 and Ticking"
"47792790","683713622","4Gamer.net"
"47374920","682774469","第65回NHK紅白歌合戦"
"47847350","683340560","66th NHK Kōhaku Uta Gassen"
"","","7C (TV series)"
