"label","Geburtsort"
"Chris Eggleston","http://dbpedia.org/resource/Colorado"
"Dylan Lupton","http://dbpedia.org/resource/California"
"Gabriele Gardel","http://dbpedia.org/resource/Milan"
"Gustavo Menezes","http://dbpedia.org/resource/Los_Angeles"
"Ignas Gelžinis",""
"Jake Eidson","http://dbpedia.org/resource/Littleton,_Colorado"
"Jakub Jamróg","http://dbpedia.org/resource/Tarnów"
"Jordi Oriola","http://dbpedia.org/resource/Barcelona"
"千代勝正","http://dbpedia.org/resource/Tokyo"
"لاري بيجرام","http://dbpedia.org/resource/Ohio"
"Lasse Sørensen (racing driver)","http://dbpedia.org/resource/Aalborg"
"Lucile Cypriano","http://dbpedia.org/resource/Hauts-de-Seine"
"Max Coates",""
"Maximilian Günther","http://dbpedia.org/resource/Oberstdorf"
"Mat'o Homola","http://dbpedia.org/resource/Bratislava"
"Michael Lira (racing driver)",""
"Morten Dons","http://dbpedia.org/resource/Struer,_Denmark"
"Nick Neri","http://dbpedia.org/resource/Palmetto,_Florida"
"Nobuharu Matsushita","http://dbpedia.org/resource/Saitama,_Saitama"
"Petr Fulín","http://dbpedia.org/resource/Czech_Republic"
