"label","elevation max","area code","Wikipage revision ID","Wikipage page ID"
"Agia Sophia, Larissa","87","+30-241x-xxx-xxx","675588414","47497419"
"Agios Athanasios, Pella","","","679136893","47495783"
"Ampelia, Larissa","","","674680343","47437592"
"Chibhal","","","681810092","47540553"
"Damasouli","140","+30-2492-xxx-xxx","675593121","47498409"
"Deleria","","+30-2492-xxx-xxx","674562535","47278032"
"Dendra Tyrnavou","84","+30-241x-xxx-xxx","674834180","47446244"
"Ferodale, New South Wales","","","682781983","47925333"
"Glastra","","3026920","674967300","47438380"
"Kastria","","26920","674967228","47438299"
"Kleitor (Village)","","26920","674840636","47439152"
"Korea under Yuan rule","","","","47420882"
"Manchuria under Ming rule","","","682177807","47498512"
"Manchuria under Qing rule","","","682293175","47499325"
"Mikrolithos","85","+30-2492-xxx-xxx","674676733","47437365"
"Mount Pearl-Southlands","","","682661702","47549433"
"Platanoulia","90","+30-241x-xxx-xxx","674956422","47453282"
"Riverside (electoral district)","","","670624609","47191667"
"Exarchat apostolique du Canada pour les fidèles de rite syro-malabar","","","677474431","47461471"
"Vryotopos","70","+30-2492-xxx-xxx","674675792","47437285"
