"Wikipage revision ID","classis","Wikipage page ID","familia","label"
"679942694","http://dbpedia.org/resource/Chondrichthyes","47707076","†Petalodontidae","Chomatodus"
"677333830","http://dbpedia.org/resource/Actinopterygii","47580007","http://dbpedia.org/resource/Cichlid","Cincelichthys"
"680179591","http://dbpedia.org/resource/Chondrichthyes","47708957","","Cladodus"
"683895360","http://dbpedia.org/resource/Actinopterygii","47987255","","Florida sand darter"
"669687621","","47100183","","Gephyroberyx darwinii"
"669019075","","47100178","","Gephyroberyx japonicus"
"681603993","http://dbpedia.org/resource/Actinopterygii","47860214","http://dbpedia.org/resource/Serranidae","Gracila albomarginata"
"680167136","http://dbpedia.org/resource/Actinopterygii","47729306","http://dbpedia.org/resource/Wrasse","Halichoeres prosopeion"
"680338650","http://dbpedia.org/resource/Actinopterygii","47733745","http://dbpedia.org/resource/Wrasse","Halichoeres richmondi"
"680957209","http://dbpedia.org/resource/Actinopterygii","47737609","http://dbpedia.org/resource/Wrasse","Halichoeres scapularis"
"679473399","http://dbpedia.org/resource/Actinopterygii","47694623","","Halieutichthys bispinosus"
"679374834","","47673169","","Heliotrygon gomesi"
"679867328","","47344680","","Lifalilis Buntbarsch"
"680629491","http://dbpedia.org/resource/Actinopterygii","47786736","","Heniochus varius"
"683332467","","47962962","","Holacanthus africanus"
"677243827","http://dbpedia.org/resource/Actinopterygii","47579864","http://dbpedia.org/resource/Cichlid","Kihnichthys"
"676884488","","47571175","","Laubuca"
"676947155","","47571237","","Chela caeruleostigmata"
"677164450","","47571316","","Chela dadiburjori"
"676881028","","47571612","","Laubuca insularis"
