"label","Wikipage page ID","ImageFile","imagesize","IUPACName","othernames","Wikipage revision ID"
"Irganox 1098","47129145","Irganox_1098.png","250","Benzenepropanamide, N,N&prime;-1,6-hexanediylbis[3,5-bis-4-hydroxy]","N,N&prime;-Hexamethylenebis; 1,6-Bishexane","674695457"
"Jiadifenolide","47373923","jiadifenolide.png","","-69","","675579302"
"Myxoxanthophyll","47694859","File:Myxoxanthophyll.svg","","-2","-120.0","679215079"
"N-Sulfinylaniline","47794439","PhNSO-2.svg","140","","N-thionylaniline, phenyliminooxosulfurane","680808461"
"Oligopetide P11-4","47128053","","","","oligopeptide 104 
Ac-Gln-Gln-Arg-Phe-Glu-Trp-Glu-Phe-Glu-Gln-Gln-NH2
Ace-QQRFEWEFEQQ -NH2","678990996"
"Pachymic acid","47379808","Pachymic acid.png","","3","","675286461"
"Pelargonin","47391282","Pelargonidin 3-5-diglucoside.png","250","-2","","675936129"
"Pentaheptafulvalene","47895448","","200","","","682900176"
"Perfluorocyclohexane","47707938","Perfluorocyclohexane.png","200","","","680044030"
"Phosphoramide","47900160","Phosphoramide.svg","150","Phosphoric triamide","Phosphoric amide; Diaminophosphorylamine","682247086"
"Pregnenolone 16α-carbonitrile","47564053","Pregnenolone carbonitrile.png","200","","","676948845"
"Salicyl alcohol","47803400","2","140","2","Salicain, Diathesin, Saligenin, Saligenol, Salicyl alcohol, α,2-Toluenediol, o-Methylolphenol, 2-Methylolphenol, Salicylic alcohol","680984066"
"Sandalore","47374753","sandalore.svg","200","3","Sandal pentanol","676201489"
"Sodium triethylborohydride","47703835","","","","","679206155"
"Tetrahydroxy-1,2-benzoquinone","47975354","Tetrahydroxy-1,2-benzoquinone.svg","150","3456","","683677780"
"Tetramethyldiborane","47379299","Tetramethyldiborane.svg","","tetramethyldiborane","boraethane","680358758"
"Thioxanthon","47590704","9","200","9","Thioxanthenone;  9-Oxothioxanthene; Thioxanthen-9-one","677305256"
"Triafulvalene","47907415","Triafulvalene.png","200","","","682900097"
"Vanadium phosphate","47732302","","","","","679986627"
"12-O-Tetradecanoylphorbol-13-acetate","1300599","","","","","680011113"
