"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"30894628","http://www.era7.com/ExtraTrain/","663012035","ExtraTrain"
"","","","Interferome"
"30423702","http://cerevisiae.oridb.org","619546412","OriDB"
"30353393","http://www.ifpan.edu.pl/BSDB/","637929096","Biomolecule stretching database"
"","","","ParameciumDB"
"30371021","http://www.rna.whu.edu.cn/gissd/","637930855","GISSD"
"","","","قاعدة بيانات توجهات البروتينات في الأغشية"
"","","","Plasmapper"
"45133899","http://www.metabolomicsworkbench.org/","678963025","MetaboLights"
"41113716","http://www.ebi.ac.uk/thornton-srv/software/PROCHECK/","671696876","Protein Structure Evaluation Suite & Server"
"31113949","http://regulondb.ccg.unam.mx/menu/using_regulondb/tutorials/project_glossary/index.jsp","655173867","RegulonDB"
"30351511","http://www.allelefrequencies.net","672007991","Allele frequency net database"
"31367643","http://omabrowser.org/All/download.html","637934580","Orthologous MAtrix"
"28646010","","676509309","COSMIC (base de datos)"
"19484382","http://www.camera.calit2.net/","677817483","Community Cyberinfrastructure for Advanced Microbial Ecology Research and Analysis"
"","","","Eukaryotic Linear Motif resource"
"42402409","http://www.ebi.ac.uk/efo","640391108","Experimental Factor Ontology"
"","","","Islander (database)"
"","","","Mouse Genome Database"
"31522508","http://igrcid.ibms.sinica.edu.tw","637931658","IGRhCellID"
