"Wikipage revision ID","combatant","label","Wikipage page ID"
"673522445","Government of Burundi","July 1966 Burundian coup d'état","47305137"
"","","Kaidu–Kublai war",""
"","","Konya Rebellion","47326961"
"678913813","","モスクワ・リトアニア戦争 (1368年-1372年)","47161375"
"683499258","Islamic State of Iraq and the Levant","May 2015 U.S. special forces raid in Syria","47432141"
"677174502","Government of Burundi","November 1966 Burundian coup d'état","47268975"
"679826588","","Siège d'Hennebont (1342)","47476370"
"681736257","","Ontzet van Lochem","47228528"
"679822668","","Sièges de Vannes (1342)","47507731"
"676574426","","Skirmish at Abbeville","47170873"
"670822337","","Skirmish at Aberdeen","47174325"
"670822466","","Skirmish at Aberdeen, Mississippi","47199670"
"673506700","","Skirmish at Abingdon","47179640"
"678699112","","Skirmish at Ackworth","47199974"
"680346552","United States","Skirmish at Adamstown","47214147"
"671109109","","Skirmish at Adamsville","47219752"
"676739445","","Skirmish at Aenon Church","47223412"
"671815068","","Skirmish at Alabama Bayou","47240555"
"676127446","","Skirmish at Albany, Missouri","47248724"
"673444957","United States","Skirmish at Paint Rock Bridge","47148197"
