"label","Wikipage page ID"
"Occipitofrontal fasciculus","5269230"
"Supramarginal gyrus",""
"Anatomy of the cerebellum","25400076"
"Inferior vestibular nucleus","11662110"
"Rhinal sulcus","5277935"
"Nerve plexus","3054933"
"Alveus of hippocampus",""
"Brodmann area 32","2877308"
"Ventromedial nucleus of the hypothalamus","3013546"
"Paramedian pontine reticular formation","3877275"
"",""
"Vestibulospinal tract",""
"",""
"Parabrachial area","38289263"
"Ventral posteromedial nucleus","10843752"
"Infralimbic cortex","14535342"
"Dentatothalamic tract","17207075"
"Dorsal trigeminal tract",""
"Rostral spinocerebellar tract","17207315"
"Rubro-olivary tract","17206961"
