"eng1 name","crew","Wikipage page ID","label","Wikipage revision ID","eng1 number"
"http://dbpedia.org/resource/Simonini_Racing","one","47971693","Adventure S series","683388064","1"
"RDM","one","47986601","Aero Nord AIR","683543490","1"
"http://dbpedia.org/resource/Hirth_F-33","one","48000739","Aerosport OY Spider","683707658","1"
"","","47847927","AgustaWestland AW109 Grand","681552614",""
"http://dbpedia.org/resource/Cors'Air_M21Y","one","48010509","Airfer Bimax","683827333",""
"","","47635167","Airframes Unlimited SS-2 Trainer","677972454",""
"http://dbpedia.org/resource/Hispano-Suiza_piston_aero-engines","two","47621814","Avimeta 88","678816413","1"
"","","47837723","Barber Snark","683951437",""
"http://dbpedia.org/resource/Siemens-Halske_Sh_14","1","47881774","Blohm & Voss Ha 135","682104595","1"
"","1","47943888","Boeing Model 853 Quiet Bird","683051477",""
"http://dbpedia.org/resource/Gnome-Rhône_Mistral_Major","Two","47893889","Breguet 670","682964454","2"
"Hispano-Suiza 8Fb","one","47394591","De Marçay 2","677906055",""
"","one","47376154","De Marçay Passe-Partout","677906204",""
"http://dbpedia.org/resource/Lorraine_12E_Courlis","Two","47329010","Descamps 17","673742604",""
"","one","47357950","Descamps 27","674171516",""
"","2","47604209","Farman HF.14","678606034",""
"","","47627361","Gluhareff EMG-300","677907006",""
"http://dbpedia.org/resource/Bristol_Cherub","1","47665745","Heath Baby Bullet","678526739","1"
"http://dbpedia.org/resource/Rotax_914","1","47139287","HeliWhale Alafina","676180484","1"
"","one","47374273","Helite Skydancer","673716730",""
