"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"46943761","http://111murray.com/","676105408","111 Murray Street"
"46316478","http://www.cityofchicago.org/city/en/about/wards/11.html","656097148","11th Ward, Chicago"
"46767722","http://www.ashbycapital.com/","677223303","200 Aldersgate"
"46239375","","","520 بارك أفينيو"
"47719844","","","ACA Women's Cricket Academy Ground"
"46728356","http://www.lrt3.com.my","666390630","AEON Bukit Tinggi LRT Station"
"46740068","http://www.aer.ita.br/~aesp14/","681436111","AESP-14"
"","","","AUC Libraries and Learning Technologies"
"47864395","http://www.stadiauk.com","682210109","Abbey Greyhound Stadium"
"46536247","http://www.abbeytheatre.co.uk","672810318","Abbey Theatre (England)"
"46416512","","671068957","Abucay Church"
"46630543","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","678720606","Acanceh (municipio)"
"46975884","http://afadzatosouthdistrictgh.com/6/download-documents-from-afadjato-south-district-assembly","680749143","Afadzato South District"
"46400897","http://www.interalex.net/search?q=agios+mamas","671882465","Agios Mamas, Chalkidiki"
"46260647","http://www.cityofathens.gr","656798458","Agios Pandeleimon (Athen)"
"46365671","http://www.forrestfieldairportlink.wa.gov.au/Portals/11/docs/Forrestfield_Airport_Link_FactSheet_Stations.pdf","680895789","Airport West railway station"
"47859606","","681718045","Akamine Station"
"","","","Al-Furqan Mosque"
"","","","Albany Public Library"
"46615211","","670394432","All Saints' Church, North Street, York"
