"label","festival name","Wikipage page ID","Wikipage revision ID"
"Araba Euskaraz","Araba Euskaraz","45532897","670134547"
"Asteroid Day","","45535168","677822810"
"Bieg Piastów","","45576158","679821008"
"CVX Live","","47517914","682150504"
"CarFest","","47509121","679407711"
"CineEurope","","47104974","683334088"
"Classic Tetris World Championship","","47123955",""
"Codemotion","","47083312","682271065"
"Des Moines Arts Festival","","47231081","672236120"
"Dolomitenlauf","","45575709","679821659"
"Gatineau Loppet","","45575746","679823288"
"哥達瓦里大浴河節","","",""
"Happy Days Enniskillen International Beckett Festival","","47268866","682824060"
"Harlem Book Fair","","45334199","646186218"
"Krishna Pushkaralu","","",""
"Lagos International Trade Fair","","45478354","679893375"
"Merino Muster","","45576320","679824671"
"Moesgård Vikingetræf","","47490473","676227458"
"Muslim Spelling Bee","","47532178","680788537"
"Nabakalebara 2015","","45349744","682573064"
