"label","Wikipage page ID"
"Alexandra Park Racecourse","39282770"
"Colonial Downs",""
"Kyoto Racecourse",""
"Randwick Racecourse",""
"福島競馬場",""
"Hipódromo de Bangor-on-Dee","12097493"
"Sunland Park Racetrack & Casino",""
"盛岡競馬場",""
"Wheeling Island Hotel-Casino-Racetrack",""
"Wye Racecourse",""
"Hipódromo de Colonia-Weidenpesch",""
"Manchester Racecourse",""
"Bogside Racecourse","39084615"
"Международный конноспортивный комплекс","39112751"
"Stockbridge Racecourse","39138563"
"Woore Racecourse",""
"Mahalaxmi Racecourse",""
"Ayr Racecourse",""
"Galopprennbahn Hamburg-Horn",""
"Hipódromo de Tallin","40328101"
