"Wikipage revision ID","Wikipage page ID","background","label"
"681961568","47835656","white","Punta Rasca Lighthouse"
"682368591","47850152","","Punta de Teno Lighthouse"
"682278687","47891124","","Punta del Hidalgo Lighthouse"
"682645885","47911740","","Šventoji Lighthouse"
"","","","Bedok Lighthouse"
"","","","Cape Leveque"
"","","","Green Point Lighthouse, KwaZulu-Natal"
"","","","Horsburgh Lighthouse"
"","","","Raffles Lighthouse"
"565373930","31232485","","Slettnes fyr"
"","","","Sultan Shoal Lighthouse"
"","","","West Channel Pile Light"
"","","","Woodman Light"
"","","","Bass Harbor Head Light"
"","","","Absecon Lighthouse"
"","","","Black Rock Harbor Light"
"","","","Block Island North Light"
"","","","Block Island Southeast Light"
"","","","Alpena Light"
"","","","Browns Point Light"
