"binomial","label","binomial authority","Wikipage revision ID","Wikipage page ID"
"Ptilonyssus calvaria","Ptilonyssus calvaria","Knee, 2008","676455634","47546318"
"Ptilonyssus nivalis","Ptilonyssus nivalis","Knee, 2008","676455715","47546322"
"Ptilonyssus pinicola","Ptilonyssus pinicola","Knee, 2008","676455802","47546329"
"Ptilonyssus plesiotypicus","Ptilonyssus plesiotypicus","Knee, 2008","676455850","47546336"
"","Rabidosa","","670020203","47148382"
"Rabidosa punctulata","Rabidosa punctulata","Hentz, 1844","678459558","47148404"
"","Reichlingia annae","","670624999","47177139"
"","Rosamygale","","683251561","47144340"
"Sternostoma setifer","Sternostoma setifer","Knee, 2008","676455940","47546343"
"","Typhochlaena","","670096854","47160995"
"","Abracadabrella birdsville","","679993532","47600156"
"","Abracadabrella elegans","","677911009","47621133"
"","Abracadabrella lewiston","","677893105","47621343"
"Abrolophus marinensis","Abrolophus marinensis","Haitlinger, 2007","678079320","47635449"
"Abrolophus mirabelae","Abrolophus mirabelae","Haitlinger, 2007","683403203","47972875"
"","Acragas carinatus","","678108328","47632785"
"","Acragas castaneiceps","","678566017","47661810"
"","Acragas erythraeus","","678565930","47661952"
"","Acragas fallax","","678527392","47661976"
"","Acragas hieroglyphicus","","678449883","47662098"
