"next","label","previouslink","previous","Wikipage page ID","series","Wikipage revision ID","year","Link from a Wikipage to an external page"
"2012","2011 International GTSprint Series season","2010","2010","47188140","International GTSprint Series","673839892","2011","http://www.eurosuperstars.com/"
"","2011 Porsche Carrera Cup Italy","","","47262628","Porsche Carrera Cup Italy","676497041","2011",""
"2013","2012 International GTSprint Series season","","2011","47190204","International GTSprint Series","673839804","2012","http://www.eurosuperstars.com/"
"","2012 Porsche Carrera Cup Italy","","","47144262","Porsche Carrera Cup Italy","672425663","2012",""
"none","2013 International GTSprint Series season","","2012","47198750","International GTSprint Series","673935580","2013","http://www.eurosuperstars.com/"
"","2013 Porsche Carrera Cup Italy","","","47110735","Porsche Carrera Cup Italy","679633155","2013",""
"","ADAC-Procar-Saison 2014","","","47051930","ADAC Procar Series","680502220","2014","http://www.adac-procar.de"
"","2014 GT Asia Series season","","","45541671","GT Asia Series","683150133","2014","http://www.afos.com/"
"","2015 Australian Drivers' Championship","","","47090763","","682287495","","http://www.formula3.com.au/"
"","2015 Australian Formula 4 season","","none","45407785","Australian Formula 4","681218172","","http://www.formula4.com.au/"
"","2015 Chinese Formula 4 season","","none","45532744","Chinese Formula 4","681218846","2015","http://www.cfgp.cc/"
"","2015 Dutch Supercar Challenge season","","","45334580","Dutch Supercar Challenge","683191465","2015","http://www.supercarchallenge.nl/"
"","2015 European Superstock 600 Championship season","","","45516860","","683768039","","http://www.worldsbk.com/"
"","2015 FIA Cross Country Rally World Cup season","","","45438056","FIA Cross Country Rally World Cup","679633622","2015","http://www.fia.com/championship/world-cup-cross-country-rallies/2015/world-cup-cross-country-rallies/"
"","2015 FIM CEV Moto3 Junior World Championship season","2014","","45516540","FIM CEV Moto3 Junior World Championship","680337259","2015","http://www.fimcevrepsol.com/en/content/moto3"
"","Championnat du monde de motocross 2015","","","45473443","","683563941","","http://www.mxgp.com/"
"","2015 Formula 4 Sudamericana season","","","45427077","Formula 4 Sudamericana","682151832","2015","http://www.f4sudamericana.com/"
"","2015 GT Asia Series season","","","45543326","GT Asia Series","683906863","2015","http://www.afos.com/index.php"
"","2015 Ginetta Junior Championship season","","","45487088","","683493922","","http://www.ginetta.com/championship_junior.php"
"","2015 Liqui Moly Bathurst 12 Hour","","","45346338","","680502862","","http://www.bathurst12hour.com.au/"
