"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"47057148","668267713","Gunwi-eup","http://www.gunwi.go.kr/ch/gunwi_eup/"
"47091811","682625632","Karavilai","http://www.kanyakumari.tn.nic.in"
"45616442","654179324","Keshabpur","http://howrah.gov.in/"
"47175706","681368165","Mant Tehsil","http://tehsildivas.up.nic.in/tehdiv/default.aspx"
"47156073","670059750","Oto-Awori","http://oto-aworilcda.com"
"47075662","668596023","Seongju-eup","http://www.seongju.go.kr/S2001/"
"47091019","668920771","Uiseong-eup","http://village.usc.go.kr/uiseong"
"47524331","683267152","Vidyapati Nagar","http://samastipur.bih.nic.in"
"47090834","668920837","Yeongdeok-eup","http://yd.yd.go.kr/"
"47170919","670790069","Apenkwa",""
"47193394","675344131","Dawhenya",""
"47171764","670790417","Kisseman",""
"47170839","670790436","Lartebiokorshie",""
"47171891","670790046","Nii Boi Town",""
"47171530","670789919","Nmai Dzorn",""
"47171785","670790002","Sakaman",""
"47171568","670790288","Shiashie",""
"47802781","680821998","Ahdid",""
"47826252","681183616","Cita, Texas",""
"47121015","670790393","East Legon",""
