"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"45546613","http://www.trainose.gr/","650204649","Proastiakos Thessaloniki"
"47485118","http://www.ukzhd.am/ru.html","681120005","Южно-Кавказская железная дорога"
"47540679","http://www.pjdpmr.com/","682089085","Pridnestrowskaja schelesnaja doroga"
"47212053","http://velobike.ru/en/","679140641","Velobike"
"47603327","http://yrw.ru/","682244327","Ямальская железнодорожная компания"
"47222134","","671158389","Cincinnati, Dayton and Toledo Traction"
"47522092","","676043132","Gwalior Metro"
"47400961","http://www.scr.indianrailways.gov.in","676327736","Hyderabad railway division"
"47248248","","","Southern Heights Light Railway"
"47508534","http://afonin.tomsk.ru/trip/2005_cherem/cherem1.html","679786058","Томская железная дорога"
"47326379","","672907121","Straßenbahn Klagenfurt"
"47218552","","678729188","Straßenbahn Minsk"
"47205037","","671228522","Straßenbahn Nischni Nowgorod"
"47184950","","672396679","Tranvia di Perugia"
"47145177","","682837742","Straßenbahn Tiflis"
"47373174","http://www.umtc.co.in/bus-rapid-transit%20-system%20-umtc-192","679148711","Amritsar BRTS"
"47807550","","680902643","Dundas Street BRT"
"47840346","","681427648","Jabalpur metro"
"47890196","http://www.adhi.co.id/en/news/list/pengumuman-amdal#","683885265","Jakarta Light Rail Transit"
"47373355","http://www.umtc.co.in/bus-based-public-transit-system-umtc-187","675783811","Ludhiana BRTS"
