"Geburtsdatum","label","Sterbedatum"
"1904-05-21","Alex Byrne (Australian footballer)","1975-08-23"
"1906-07-23","Allan Johnston (Australian footballer)","1944-06-06"
"1894-05-18","Alwin Dalitz","1969-01-29"
"1908-04-08","Arthur Cockram","1968-10-19"
"","Arthur Pearce",""
"1901-09-19","Austin Hogan","1982-03-10"
"1905-05-30","Bert Carey","1994-07-10"
"1904-12-03","Bill Campbell (footballer, born 1904)","2007-03-19"
"1904-09-22","Bill H. Williams","1993-02-03"
"1936-01-04","Bill Miller (Australian footballer)","1986-06-27"
"1901-12-06","Bill Turner (Australian footballer, born 1901)","1967-01-03"
"","Bill Wells (footballer)",""
"1900-01-14","Bobby Walker (Australian footballer)","1971-05-19"
"1996-09-03","Brad Walsh (footballer)",""
"1996-09-20","Brayden Maynard",""
"1996-07-07","Caleb Daniel",""
"1900-04-28","Charlie Deslandes","1967-04-04"
"1910-01-23","Charlie Holmes (footballer)","1981-07-30"
"1903-10-26","Charlie McKinley","1990-02-27"
"","Chris Thredgold",""
