"Wikipage page ID","country","label","alternate name","direction a","Wikipage revision ID"
"47325590","PHL","Radial Road 5","Radial Road 5","North","672869841"
"47320804","","Ranch to Market Road 2769","","","673280157"
"47303693","","Linha Vermelha (Rio de Janeiro)","","","672579908"
"","","Sacagawea Heritage Trail","","",""
"47541328","","South Carolina Highway 150","","","676583469"
"47545920","","South Carolina Highway 18","","","677327341"
"47542256","","South Carolina Highway 211","","","676583371"
"47498938","IND","State Highway 93 (Bihar)","","","677350572"
"47279461","","Sua Betong-Sunggala Highway","","","672466484"
"47528317","","Suleja–Minna Road","","","676175734"
"47281255","MYS","Teluk Kemang Bypass","Teluk Kemang Bypass","","672229476"
"47931241","","Tennessee State Route 167","","","682754413"
"47530183","","Texas State Highway Spur 302","","","676649688"
"47264411","","Utah State Route 241","","","672193432"
"47287045","","Linha Amarela (Rio de Janeiro)","","","672666151"
"47787670","","A1 Motorway (Albania)","Rruga e Kombit","","683641813"
"47674520","FRA","A500 autoroute","Bretelle de Monaco","","681405260"
"47787031","","Bernardyńska Street in Bydgoszcz","","","683153293"
"47743231","","Farm to Market Road 1585","","",""
"47603018","","克頓道","","","677871401"
