"Wikipage page ID","Wikipage revision ID","label"
"47235237","683288781","Of Reminiscences and Reflections"
"47921948","682604111","Variations for Orchestra (Bassett)"
"47407951","674202271","Within Her Arms"
"36001185","674945100","Der Wein"
"","","Eroica-Variationen"
"","","Niagara Falls (composition)"
"46591717","672964858","Sarnia: An Island Sequence"
"","","The Gadfly Suite"
"","","The Wasps (Vaughan Williams)"
"","","Weeping Willow"
"25927476","669822078","A Little Suite for Christmas, A.D. 1979"
"4728909","544346453","Impromptu No. 3 (Chopin)"
"2794009","665422750","The Land of the Mountain and the Flood"
"","","Aotearoa (overture)"
"","","Lacrimosa (Requiem)"
"2836345","674042814","Prelude in C-sharp minor, Op. 11, No. 10 (Scriabin)"
"","","Príncipe Rostislav (Rajmáninov)"
"13345499","544968969","Rondo amoroso"
"","","Symphonic Dances (Grieg)"
"24151038","669511006","The Light (Glass)"
