"Link from a Wikipage to an external page","capacity","opened","manufacturer","Wikipage page ID","height ft","label","Wikipage revision ID"
"http://seaworldparks.com/en/buschgardens-tampa/attractions/rides/cobras-curse/","1000","2016","MACK Rides","46823589","70","Cobra's Curse","682918116"
"http://www.taytocrisps.ie/park/events/news/press-release-2015/","700","","","46631355","","Cú Chulainn Coaster","681457453"
"","","","","","","Eurosat",""
"https://www.madametussauds.com/sanfrancisco","","","","46835235","","Madame Tussauds San Francisco","682837040"
"http://www.europapark.de/en/park/attractions-shows/pirates-batavia","","","","46515293","","Piraten in Batavia","661885977"
"https://valravn.cedarpoint.com","1200","Spring 2016","Bolliger & Mabillard","47766575","223","Valravn (roller coaster)","682313332"
"http://seaworldparks.com/en/seaworld-orlando/attractions/rides/jazzy-jellies/","","","","47142791","","Jazzy Jellies","670883550"
"http://www.dollywood.com/themepark/rides/LightningRod","","","Rocky Mountain Construction","47456165","","Lightning Rod (roller coaster)","676415792"
"https://disneyland.disney.go.com/entertainment/disneyland/paint-the-night-parade/","","","","45355734","","Paint the Night","680068473"
"http://seaworldparks.com/en/seaworld-orlando/attractions/rides/sea-carousel/","","","","47142851","","Sea Carousel","670882105"
"","","","","47431955","","Caribbean Corkscrew","674575561"
"","","May 2006","Sally Corporation","47421158","","Gobbler Getaway","680150516"
"","","","","47431656","","Key West Rapids","674568081"
"","","2015-03-21","Zamperla","47551039","21.3","Octonauts Rollercoaster Adventure","683002257"
"","","","","47543552","","Rivers of Light","676406891"
"","","2006-07-05","Zierer","47421460","","Shamu Express","676276744"
"","","","Gerstlauer","47204379","","The Monster (Adventureland)","681211488"
"","","","","47421839","","Wahoo Run","674403157"
"","","","","47757471","","Taron (roller coaster)",""
"","","","S&S Worldwide","47783291","120","Total Mayhem","680533488"
