"label"
"White Plains Hospital"
"Alexandra Hospital"
"Khyber Teaching Hospital"
"Hospital central Mpilo"
"National University Hospital"
"Singapore General Hospital"
"Tan Tock Seng Hospital"
"Toa Payoh Hospital"
"Vajira Hospital"
"Banner Lassen Medical Center"
"Barlow Respiratory Hospital"
"Barnert Hospital"
"Barstow Community Hospital"
"Bayley Seton Hospital"
"Bayonne Medical Center"
"Bayshore Community Hospital"
"Belchertown State School"
"Bergen Regional Medical Center"
"Bixby Medical Center"
"Brighton Hospital"
