"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"Tel Aviv International Student Film Festival","31737842","665368745","http://www.taufilmfest.com/"
"10th !f Istanbul AFM International Independent Film Festival","30468018","643108800","http://www.ifistanbul.com"
"16th Antalya Golden Orange Film Festival","32563090","603879361","http://www.aksav.org.tr/en/"
"16th Festival on Wheels","29648180","603025228","http://www.festivalonwheels.org/festival_on_wheels.aspx?page=festival_16"
"18th International Adana Golden Boll Film Festival","30607470","647114336","http://www.altinkozafestivali.org.tr/en/"
"1st Antalya Golden Orange Film Festival","33483873","603936770","http://www.aksav.org.tr/en/"
"1st International Eurasia Film Festival","30661645","597910281","http://www.tursak.org.tr/index.php?option=com_content&view=article&id=111&lang=en&Itemid=112"
"2010 Havana Film Festival","30107085","538042578","http://www.habanafilmfestival.com"
"Internationale Filmfestspiele von Cannes 2011","30268846","679327954","http://www.festival-cannes.com/en.html"
"Шанхайский кинофестиваль 2011","31982156","652851267",""
"2011 Slamdance Film Festival","30755030","626144398","http://www.slamdance.com/"
"مهرجان كان السينمائي 2012","34023145","664433723","http://www.festival-cannes.com/en.html"
"Festival du film de Sundance 2012","34066146","677644122","http://www.sundance.org/festival/"
"22nd Ankara International Film Festival","30500098","597967149",""
"2nd Antalya Golden Orange Film Festival","33484536","597910338","http://www.aksav.org.tr/en/"
"2nd International Eurasia Film Festival","30666330","597910344","http://www.tursak.org.tr/index.php?option=com_content&view=article&id=111&lang=en&Itemid=112"
"30th International Istanbul Film Festival","30467944","597910357","http://film.iksv.org/en"
"Internationale Filmfestspiele Berlin 1983","29595471","683903150",""
"Internationale Filmfestspiele Berlin 1984","29688121","674484244",""
"Internationale Filmfestspiele Berlin 1986","30460993","671822989",""
