"label","Geburtsort"
"Tihomir Doder","http://dbpedia.org/resource/Novi_Sad"
"Amanda Kurtović",""
"Julija Manaharowa","http://dbpedia.org/resource/Dnipropetrovsk"
"Martine Smeets","http://dbpedia.org/resource/Geesteren,_Overijssel"
"Wadim Andrejewitsch Bogdanow","http://dbpedia.org/resource/Russia"
"Mitar Markez","http://dbpedia.org/resource/Sombor"
"Wang Shasha",""
"Norbert Madaras",""
"Camilla Andersen",""
"Carsten Lichtlein",""
"Dóra Lőwy",""
"Karolina Kudłacz-Gloc",""
"Kasper Søndergaard",""
"دانييل نارسيس",""
"Dominik Klein",""
"Jesper Nøddesbo",""
"Alexia Cáceres",""
"Daniela Băbeanu",""
"El Hadi Biloum",""
"Fatma Sfar-Ben-Chker",""
