"label","Geburtsort"
"Amanda Milling","http://dbpedia.org/resource/Staffordshire"
"Amanda Solloway",""
"Andrea Jenkyns","http://dbpedia.org/resource/East_Riding_of_Yorkshire"
"Angela Crawley","http://dbpedia.org/resource/Hamilton,_South_Lanarkshire"
"Bandula Lal Bandarigoda",""
"Ben Howlett",""
"Caroline Ansell",""
"Chris Law (politician)",""
"Craig Tracey","http://dbpedia.org/resource/Durham,_England"
"Deidre Brock","http://dbpedia.org/resource/Western_Australia"
"Dirk Stettner","http://dbpedia.org/resource/Mönchengladbach"
"Harry Harpham",""
"Holly Walker-Lynch","http://dbpedia.org/resource/Halifax,_West_Yorkshire"
"Jenny Leong","http://dbpedia.org/resource/Adelaide"
"Julian Knight (politician)",""
"Karin Smyth",""
"Kate Osamor",""
"Kevin Hollinrake",""
"Kirsty Blackman","http://dbpedia.org/resource/Aberdeen"
"Lisa Cameron",""
