"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"46176204","668344048","Airsport Sonata","http://www.airsport.wz.cz/sonata.htm"
"46198806","676578152","Airsport Song","http://www.airsport.wz.cz/song.htm"
"46422949","668353233","Bede BD-12","http://www.bedecorp.com/bd-12-14-.html"
"46427284","668353237","Bede BD-14","http://www.bedecorp.com/bd-12-14-.html"
"46412579","668389231","Coelho AC-11",""
"46258149","668362461","Faradair Aerospace BEHA","http://www.faradair.com/beha.html"
"47009314","668368949","Fly Castelluccio Diavolo","https://web.archive.org/web/20040401150818/http:/www.flycastelluccio.it/trike/diavolo.asp"
"46610622","668399426","Ibis GS-600 Arrow","http://ibis-aircraft.com/"
"46409187","668349279","Six Chuter Skye Ryder Aerochute","http://www.sixchuter.com/"
"47709483","679266673","Sun Flightcraft Air-Chopper","http://www.sunflightcraft.com/en/paraplanes.php"
"47785599","681063660","Swing-Europe Parashell","http://luftmofa.com/pages/trike.php"
"46657499","668330506","Viper Aircraft Viperfan","http://viperjet.com/"
"45574933","677795773","Airbus Helicopters H160","http://www.airbushelicopters.com/website/en/ref/H160_204.html"
"47255543","675127760","Fresh Breeze Flyke","http://www.fresh-breeze.de/en/products/trikes/flyke.html"
"47579559","677400702","Soaring Concepts Sky Trek","http://soaringconcepts.com/"
"47430611","677906718","Albert TE.1",""
"47516737","678789845","Albessard Triavion",""
"47161063","670879885","Caudron Type B Multiplace",""
"47206519","672288367","Caudron Type C",""
"47252315","672295452","Caudron Type D",""
