"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"46186979","http://www.gemeinde-sylt.de/","681336738","Archsum"
"46234432","http://erofey-arena.com/en/arena/","682060435","Арена «Ерофей»"
"46916239","http://www.armanisilos.com","677168537","Armani Silos"
"","","","Arquivo Público do Estado de São Paulo"
"47804442","http://www.artrix.org.uk","683562465","Artrix, Bromsgrove"
"","","","Ascend Amphitheater"
"47727318","http://uplegisassembly.gov.in/default.htm","681779773","Asmoli (Assembly constituency)"
"47396974","http://www.attawapiskat.org","674005503","Attawapiskat 91, Ontario"
"46508295","","663755074","Aulakh (Village)"
"47323737","http://www.aokfn.com/index.html","674006056","Aundeck Omni Kaning First Nation"
"","","","Avro Heritage Museum"
"48009506","","","Awadhesh Pratap Singh University Stadium"
"46920264","http://www.ayalatriangle.com/gardens","674026189","Ayala Triangle Gardens"
"46854907","","677518847","Azoty Arena"
"46283457","http://bdbacata.com/","676182115","BD Bacatá"
"46878624","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#","675408230","Baca (municipio)"
"47971282","","","Bacchanal Buffet"
"47845803","","","Bacolod Evangelical Church"
"47654278","http://asa.com.pk/projects/bakht-tower/","683653419","Bakht Tower"
"47781819","http://balaparaup.nilphamari.gov.bd/","682442258","Balapara Union"
