"label","Wikipage page ID","Wikipage revision ID"
"Charlestown Sarsfields GAA","45700058","681304570"
"Chicago Wildfire","47385850","677115319"
"Chula Vista FC","",""
"Clondegad GAA","47834505","681299281"
"Club Atlético Mar de Fondo","",""
"Cobh Wanderers FC","",""
"Selección de fútbol sub-15 de Colombia","47656703","679828706"
"Selección femenina de rugby 7 de Colombia","46917280","678128418"
"Colombia women's national under-17 football team","",""
"Comilla Victorians","47941926","683900340"
"Conception Bay North Eastlink CeeBee Stars","47715475","683403091"
"Cumbernauld Colts F.C.","",""
"DED Amsterdam","",""
"DVS'33","",""
"Darebin United","",""
"Dayton Demolition","",""
"Deal & Betteshanger Rugby Club","46278500","662280804"
"Deanshanger Athletic F.C.","47031592",""
"Deportivo Coras USA","46471243","665965222"
"Dibba Club","",""
