"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Autobusy miejskie w Szczecinie","674126247","http://www.zditm.szczecin.pl/index.php/en/index.html","47031112"
"Coca-Cola Zero Belfast Bikes","677922091","http://www.belfastbikes.co.uk/en/belfast/","46460569"
"WILLER TRAINS","678100393","http://trains.willer.co.jp/","46312343"
"NMDOT Park and Ride","680488620","http://nmparkandride.com/","46650593"
"O-Train","","",""
"Rainbow BRTS","683154472","http://rainbowbrt.in/","47754766"
"Riverport Railroad","662061354","http://www.riverportrailroad.com/","46372440"
"Salt Spring Island Transit System","683248238","http://bctransit.com/salt-spring-island/home","47742098"
"Sobi Hamilton","660105994","http://hamilton.socialbicycles.com","45714292"
"Sunshine Coast Light Rail","683756862","https://lightrail.sunshinecoast.qld.gov.au","45626223"
"TranGO","679533267","http://okanogantransit.com","47725494"
"AN Railway","","",""
"Aarhus City Bikes","680052410","http://www.aarhus.dk/sitecore/content/Subsites/AarhusBycykel/Home.aspx?sc_lang=da","47598533"
"Birmingham Terminal Railway","","",""
"Крымская железная дорога","679797066","http://crimeagd.ru/","47454505"
"Danapur railway division","682169303","http://ecr.indianrailways.gov.in/view_section.jsp?lang=0&id=0,6,335","45402312"
"Donezka Salisnyzja","683440413","http://www.railway.dn.ua/","47484731"
"Kerala Urban Road Transport Corporation","683584085","http://www.kurtconline.com/KURTCOnline/","45318301"
"North Central RTD","683473852","http://ncrtd.org/","47264758"
"Odeska Salisnyzja","682054301","http://www.odz.gov.ua/","47496488"
