"Wikipage page ID","Wikipage revision ID","label"
"10662492","672894287","Thunderbolt (Coney Island)"
"41096004","673347446","Thunderbolt (2014 roller coaster)"
"","","Thunderbolt (Dreamworld)"
"","","Thunderbolt (Kennywood)"
"","","Thunderbolt (Six Flags New England)"
"","","Tower of Terror II"
"43612483","625853758","Typhoon (Bobbejaanland)"
"","","Vampire (roller coaster)"
"","","Zodiac (ride)"
"40858988","593352501","Zombie Evilution"
"","","Sesame Street 4-D Movie Magic"
"","","Steel Force"
"","","Texas Tornado (roller coaster)"
"37400147","673329615","The Flume (Alton Towers)"
"40055557","680027315","Venetian Gondolas"
"","","Alpengeist"
"","","America Sings"
"","","Apollo's Chariot"
"","","Astro Orbiter"
"","","Big One (roller coaster)"
