"label","Geburtsort","birth place"
"A. J. Cruz","http://dbpedia.org/resource/Lake_Forest,_California","http://dbpedia.org/resource/Lake_Forest,_California"
"A. J. Tarpley","http://dbpedia.org/resource/Plymouth,_Minnesota","http://dbpedia.org/resource/Plymouth,_Minnesota"
"Adam Juratovac","http://dbpedia.org/resource/Palo_Alto,_California","http://dbpedia.org/resource/Palo_Alto,_California"
"Adolphus Washington","http://dbpedia.org/resource/Cincinnati","http://dbpedia.org/resource/Cincinnati"
"Al Hoisington","http://dbpedia.org/resource/Chicago","http://dbpedia.org/resource/Chicago"
"Al Richardson (end)","",""
"Alex Bravo","http://dbpedia.org/resource/Tucson,_Arizona","http://dbpedia.org/resource/Tucson,_Arizona"
"Alex Gorgal","",""
"Alonzo Harris (American football)","http://dbpedia.org/resource/Birmingham,_Alabama","http://dbpedia.org/resource/Birmingham,_Alabama"
"Andy Gallik","http://dbpedia.org/resource/Illinois",""
"Arthur Miley","http://dbpedia.org/resource/Mangham,_Louisiana","http://dbpedia.org/resource/Mangham,_Louisiana"
"Arthur Tripp","",""
"Austin MacGinnis","http://dbpedia.org/resource/Sacramento,_California","http://dbpedia.org/resource/Sacramento,_California"
"Avius Capers","http://dbpedia.org/resource/Charlotte,_North_Carolina","http://dbpedia.org/resource/Charlotte,_North_Carolina"
"B. J. Finney","http://dbpedia.org/resource/Wichita,_Kansas","http://dbpedia.org/resource/Wichita,_Kansas"
"Ben Ciccone","",""
"Ben Malena","http://dbpedia.org/resource/Dallas","http://dbpedia.org/resource/Dallas"
"Bill Breeden","",""
"Bill Larson (fullback)","",""
"Bill Whalen","",""
