"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Ministry of Regional Development and EU Funds (Croatia)","661685244","http://mrrfeu.hr","46510528"
"Ministry of Social Policy and Youth (Croatia)","","","46503668"
"Ministry of Urban Development (Sri Lanka)","683820306","http://www.uda.lk/","47802360"
"Ministerio del Interior y Transporte (Argentina)","682401295","","46748641"
"Municipal Services Office (Singapore)","683274412","http://www.mnd.gov.sg/mso/","47955303"
"National Board for Technical Education","681090019","http://nbte.gov.ng/","47798504"
"Consejo Nacional para Prevenir la Discriminación","","","46248837"
"National Electoral Commission (Tanzania)","675414451","http://www.nec.go.tz","46447608"
"National Institute of Statistics and Census of Panama","664196331","","46809341"
"National Security Council of the Czech Republic","671999723","http://www.vlada.cz/en/pracovni-a-poradni-organy-vlady/brs/office-of-the-government-of-the-czech-republic-23851/","46926248"
"National Weather Service Topeka, Kansas","670274483","http://www.weather.gov/top/","46857900"
"New York State Commission on Judicial Conduct","682873640","http://www.scjc.state.ny.us/","47647653"
"Ohio Department of Administrative Services","656368911","http://das.ohio.gov/","46403962"
"Ohio Department of Agriculture","656369049","http://www.agri.ohio.gov/","46404331"
"Ohio Department of Commerce","656371863","http://www.com.ohio.gov/","46404533"
"Ohio Department of Health","668788170","https://www.odh.ohio.gov/","46405231"
"Ohio Department of Taxation","656370475","http://www.tax.ohio.gov","46404431"
"Pakistan Standards and Quality Control Authority","677629970","","45703042"
"Pennsylvania Department of Drug and Alcohol Programs","665665150","http://www.ddap.pa.gov/","46900235"
"Punjab Forensic Science Agency","","",""
