"Wikipage page ID","Wikipage revision ID","label"
"4536556","670726437","Arp 299"
"10498440","667613423","NGC 5371"
"25025373","602892500","NGC 7459-1"
"14873893","665237965","QSO B2121+248"
"20369526","665952965","NGC 10"
"20418671","665967898","NGC 13"
"5590879","670134591","NGC 2500"
"","","Boötes I (dwarf galaxy)"
"","","Canes Venatici I (dwarf galaxy)"
"5916509","595785675","NGC 1032"
"10478905","647049940","مجرتي 1410"
"45158758","670487908","NGC 3718"
"14485522","","NGC 87"
"15796200","676112262","HCM-6A"
"31644293","614412037","NGC 3669"
"38412795","","NGC 5204"
"","","Eyes Galaxies"
"36758149","651219698","DDO 190"
"39750328","670952792","NGC 2082"
"10375094","642343352","NGC 4319"
