"Wikipage page ID","Wikipage revision ID","label","Link from a Wikipage to an external page"
"46919559","676074717","Airline Highway (play)","http://airlinehighwaybroadway.com/"
"47316471","683815446","For Heaven's Sake (play)","http://www.forheavenssaketheplay.com"
"46658530","674158350","McQueen (play)","http://mcqueentheplay.com/"
"46361190","681225171","The Nether",""
"46423168","675564463","The Play That Goes Wrong","http://www.theplaythatgoeswrong.com"
"47083555","682707284","Harry Potter and the Cursed Child","http://www.harrypottertheplaylondon.com"
"45548380","","The Odd Life of Amy Letwis",""
"47309914","","An Evening with Lucian Freud",""
"47172870","670778015","God and Texas",""
"47172906","671009472","How to Get Tough About It",""
"47939910","682929187","Mr Foote's Other Leg (play)",""
"47205725","678940442","Plays for England",""
"47206582","675425387","Sing Me No Lullaby",""
"47179063","670887239","Star Spangled (play)",""
"47283672","678942834","Taking Care of Baby",""
"47188045","671392926","The Blood of the Bambergs",""
"47257731","678214763","The Exonerated (play)",""
"47288163","680906813","The Man Who (play)",""
"47428808","679786271","The Streets of Paris",""
"47153706","683341741","The World of Paul Slickey",""
