"label","genre","Wikipage revision ID","Wikipage page ID","place","orig lang"
"Under Plain Cover","http://dbpedia.org/resource/Satire","671393008","47189010","http://dbpedia.org/resource/Royal_Court_Theatre","English"
"Ẹni Ògún","http://dbpedia.org/resource/History_(theatrical_genre)","675863636","47502494","http://dbpedia.org/resource/Muson_Centre","http://dbpedia.org/resource/English_language"
"Buddies (play)","","677306030","47588428","http://dbpedia.org/resource/American_Airlines_Theatre",""
"Déjàvu","http://dbpedia.org/resource/Social_realism","669934711","47137024","http://dbpedia.org/resource/Thorndike_Theatre","English"
"Gambling (play)","","679985296","47394119","http://dbpedia.org/resource/Fulton_Theatre",""
"La Passió d'Esparreguera","","673744693","47373718","",""
"Straight White Men","","680594960","47787964","",""
"The Anarchist (play)","","681673428","47374607","",""
"","","","","",""
"The Fastest Clock in the Universe","","678972672","47394715","",""
"The Frontier Trilogy","Drama/Western","681983457","47764952","http://dbpedia.org/resource/Edinburgh_Festival_Fringe","English"
"Abie's Irish Rose","","","","",""
"American Buffalo (play)","","","","",""
"Angel City (play)","","","","",""
"Agosto (Condado de Osage)","","","","",""
"Body Language (play)","","","","",""
"Come Back, Little Sheba (play)","","","","",""
"Detroit (play)","","","","",""
"Doctor Faustus (play)","","","","",""
"Electra (Euripides play)","","675557647","972745","",""
