"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Samoan tālā","680146172","https://www.cia.gov/library/publications/the-world-factbook/fields/2092.html","1812270"
"Доллар Ниуэ","677140646","","27484473"
"Southern Rhodesian pound","","",""
"Mozambican escudo","","",""
"Portuguese Timorese escudo","","",""
"BerkShares","","",""
"New Guinean pound","","",""
"Angolan escudo","","",""
"Argentine real","628164958","","3680578"
"Georgian maneti","","","3788401"
"Japanese government-issued Oceanian Pound","677314144","","3855795"
"Luccan pound","","",""
"Newfoundland dollar","","",""
"Parman lira","","",""
"Salvadoran peso","","",""
"Sardinian lira","","",""
"Tunisian franc","","",""
"South Korean won (1945–53)","634153432","http://www.npb.go.jp/eng/index.html","8212063"
"Nagorno-Karabakh dram","","",""
"Coinye","683454521","https://web.archive.org/web/20140517065834/http:/coinyethecoin.com/","41558953"
