"label","Geburtsort"
"List of Playboy Playmates of 1993","http://dbpedia.org/resource/Fort_Campbell"
"Cristal Camden",""
"Hiromi Oshima",""
"Lari Laine",""
"Jennifer Lavoie",""
"Julie McCullough",""
"Kathy Shower",""
"List of Playboy Playmates of 1979","http://dbpedia.org/resource/British_Columbia"
"List of Playboy Playmates of 1980","http://dbpedia.org/resource/Milwaukee"
"List of Playboy Playmates of 1992","http://dbpedia.org/resource/Ho_Chi_Minh_City"
"List of Playboy Playmates of 2004","http://dbpedia.org/resource/Westlake_Village,_California"
"Sharon Johansen",""
"Stacy Sanches",""
"Linné Ahlstrand",""
"Eve Meyer",""
"Joan Staley",""
"Avis Kimble",""
"لورا كروفت",""
"Anulka Dziubinska",""
"Ashley Cox",""
