"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://sports-att.espn.go.com/nfl/teams/stats?team=gnb&year=2004","2004 Green Bay Packers season","643326084","7245544"
"http://www.pro-football-reference.com/teams/nor/2007.htm","2007 New Orleans Saints season","677220974","10122095"
"http://erieexplosion.com/team.php","2012 Erie Explosion season","659870310","38049238"
"http://www.cfl.ca/page/transactions","2012 Saskatchewan Roughriders season","647219342","33741932"
"http://www.bclions.com/page/transactions_bc","2013 BC Lions season","648307106","37684983"
"http://ottawaredblacks.com/footballops","2014 Ottawa Redblacks season","675802104","40954055"
"http://pittsburghpowerfootball.com/team/roster/","2014 Pittsburgh Power season","665669841","41812194"
"","1980 Ottawa Rough Riders season","468356873","27592789"
"","1934 Chicago Cardinals season","655122754","21404856"
"","1939 Winnipeg Blue Bombers season","466752540","31433377"
"http://www.pro-football-reference.com/teams/phi/1962.htm?redir","1962 Philadelphia Eagles season","650597671","18843082"
"","1986 Ottawa Rough Riders season","468355433","27530668"
"http://www.pro-football-reference.com/teams/nyg/1993.htm","1993 New York Giants season","655700593","16677845"
"","1999 Scottish Claymores season","670909567","31202859"
"","2003 Edmonton Eskimos season","653347359","26466462"
"http://www.goifl.com/historic_stats","2011 Seattle Timberwolves season","669327005","46216691"
"http://www.columbuslions.net/roster-othermenu-12.html?task=view","2015 Columbus Lions season","682557943","44741476"
"","1964 Oakland Raiders season","653817884","12828281"
"","1988 New Orleans Saints season","664855777","20018696"
"http://www.jt-sw.com/football/pro/results.nsf/Teams/1991-nyg","1991 New York Giants season","682016314","19061771"
