"Wikipage page ID","Wikipage revision ID","label"
"45620942","674602231","LKT Team Brandenburg"
"45666636","651281746","Mercury Cycling Team"
"22505925","633012924","Azad University Giant Team"
"18481997","677995223","Cyclingteam Join’s – De Rijke"
"","","Team RadioShack"
"","","TI-Raleigh"
"","","Équipe cycliste Gewiss"
"18196226","","Euskadi (Radsportteam)"
"45620441","","Amplatz-BMC"
"45283386","655850754","BMW p/b Happy Tooth Dental"
"","","AC Sparta Praha (Radsportteam)"
"15611172","","Mitsubishi-Jartazi"
"11503850","","GB-MG Maglificio"
"","","Bauknecht-Author"
"","","Festina (Radsportteam)"
"45596582","","Équipe cycliste Kinan"
"42843187","655946910","Lensworld.eu-Zannata"
"45605229","675366640","Unieuro-Wilier"
"45596560","651487418","Utsunomiya Blitzen"
"45585804","659892653","Team Lvshan Landscape"
