"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"Solem v. Helm","http://qq5td7he6s.scholar.serialssolutions.com/?sid=google&auinit=BC&aulast=Legum&atitle=Down+the+Road+Toward+Human+Decency:+Eighth+Amendment+Proportionality+Analysis+and+Solem+v.+Helm&title=Georgia+law+review+%28Athens,+Ga.+:+1966%29&volume=18&date=1983&spage=109&issn=0016-8300","3066151","669602451"
"United Mine Workers of America v. Bagwell","","",""
"United States v. Ballin","http://www.archive.org/stream/tariffactof1890c00unitrich/#page/n98/mode/1up/search/worsted","26088880","679477818"
"United States v. Dominguez Benitez","http://www.usdoj.gov/osg/briefs/2003/3mer/2mer/2003-0167.mer.ja.html","646513","645383348"
"Michigan v. Long","","970189",""
"Perry v. Sindermann","","",""
"Apprendi v. New Jersey","","949571","603313005"
"Branzburg v. Hayes","","918570",""
"Chaplinsky v. New Hampshire","","",""
"Kramer v. Union Free School District No. 15","","",""
"Lee v. Weisman","","",""
"Brentwood Academy v. Tennessee Secondary School Athletic Ass'n","","",""
"Cheek v. United States","http://caselaw.lp.findlaw.com/scripts/getcase.pl?navby=CASE&court=US&vol=498&page=192","3228538","660275348"
"Caso Ciudadanos Unidos contra Comisión de Elecciones Federales","","",""
"Flagg v. Walker","http://supreme.justia.com/us/113/659/case.html","20404986","644650402"
"Georgia v. South Carolina (1990)","","31157966","645229093"
"Head v. Amoskeag Manufacturing Co.","http://supreme.justia.com/us/113/9/case.html","13704764","644650458"
"Prima Paint Corp. v. Flood & Conklin Manufacturing Co.","http://www.law.cornell.edu/uscode/9/usc_sup_01_9_10_1.html","20131622","644786627"
"Rivera v. Illinois","","21662862","645400443"
"Smith v. Doe","","2285594",""
