"Wikipage revision ID","Wikipage page ID","Caption","label","action","origin","Nerve"
"668435756","46187874","The muscles of the left hand","Muscles of the thumb","Flexion, extension, adduction, abduction and oppossion of the thumb","Hand and forearm","Median and ulnar nerve"
"","","","Musculus auricularis anterior","","",""
"","","","Abductor hallucis muscle","","",""
"","","","Adductor hallucis muscle","","",""
"","","","Extensor digitorum longus muscle","","",""
"","","","Extensor pollicis longus muscle","","",""
"","","","Infraspinatus muscle","","",""
"","","","Oblique muscle of auricle","","",""
"","","","Supraspinatus muscle","","",""
"678623357","232867","","Hamstring","","",""
"","","","Levator ani","","",""
"","","","Omohyoid muscle","","",""
"","","","Vastus lateralis muscle","","",""
"680181271","1969474","","Lateral rectus muscle","","",""
"680181306","1969481","","Medial rectus muscle","","",""
"","","","Obliquus capitis inferior muscle","","",""
"","","","Obliquus capitis superior muscle","","",""
"680181173","1969445","","Superior rectus muscle","","",""
"","","","Extensor hallucis brevis muscle","","",""
"","","","Flexor digitorum brevis muscle","","",""
