"Wikipage revision ID","label","Wikipage page ID"
"592881807","Polystichum mohrioides","41340566"
"","Tempskya",""
"","Asplenium bulbiferum",""
"675121712","Polypodiales","1291680"
"","ماراتيا (نبات)",""
"","Osmunda spectabilis","32829471"
"662175795","Pseudosporochnales","32676659"
"551290590","白边粉背蕨","36955830"
"654322414","Blechnum tabulare","29746749"
"","尾叶实蕨",""
"640927829","Cyathea edanoi","5868565"
"640928454","Cyathea fadenii","5874906"
"","Cyathea metteniana",""
"","Dicksonia youngiae","18468066"
"","Osmunda japonica",""
"626962717","Woodsia plummerae","29963267"
"","Asplenium azomanes","20882611"
"478766056","Cryptogrammaceae","25365068"
"","Sinopteris albofusca",""
"356796529","Cyathea amintae","5768898"
