"date","Wikipage revision ID","label","Wikipage page ID","casualties"
"2015-08-07","681571227","2015 South Kivu earthquake","47454155","1"
"","","1933 Baffin Bay earthquake","19661405",""
"","673535330","福井地震","18875765",""
"","604940089","Terremoto de Guatemala de 1717","15692220",""
"","682636752","1945 Balochistan earthquake","4188464",""
"","669836796","1957 Andreanof Islands earthquake","4714080",""
"","661008646","2009 Talaud Islands earthquake","28213773",""
"","664904566","2014 Pakistan earthquake","44508879",""
"","","1886 Charleston earthquake","",""
"","677411372","1933 Long Beach earthquake","1996812",""
"","","1946 Aleutian Islands earthquake","1377646",""
"","","1985 Mexico City earthquake","",""
"","","1987 Whittier Narrows earthquake","2577206",""
"","635787898","2005 Fukuoka earthquake","1833593",""
"","661038971","2005 Miyagi earthquake","2471787",""
"","675195868","2005 Sumatra earthquake","1660314",""
"","669590349","2005 Zarand earthquake","1533896",""
"","665712111","1556 Shaanxi earthquake","1341241",""
"","","1857 Fort Tejon earthquake","",""
"","","1929 Grand Banks earthquake","1351477",""
