"Wikipage revision ID","label","Wikipage page ID"
"672365709","Federal Correctional Institution, Florence","1247306"
"","Fulham Correctional Centre",""
"","Greenough Regional Prison",""
"","HM Prison Parc",""
"","Hakea Prison",""
"","John Morony Correctional Complex",""
"","Launceston Reception Centre",""
"","Lotus Glen Correctional Centre",""
"","Maitland Gaol",""
"","Parramatta Correctional Centre",""
"","Perth Immigration Detention Centre",""
"","Rangeview Juvenile Remand Centre",""
"","Roebourne Regional Prison",""
"","Tarrafal camp",""
"","Townsville Correctional Centre",""
"","Wolston Correctional Centre",""
"","Woodford Correctional Centre",""
"","Yatala Labour Prison",""
"","Woodland Center Correctional Facility","44988129"
"","Lefortowo-Gefängnis",""
