"label","Geburtsort","birth place"
"Leonardo Caffo","http://dbpedia.org/resource/Catania","http://dbpedia.org/resource/Catania"
"Syed Zahoor Shah Hashmi","",""
"Ulla Wessels","http://dbpedia.org/resource/Münster","http://dbpedia.org/resource/Münster"
"Ismail ibn Musa Menk","",""
"Keith Ansell-Pearson","",""
"Syed Abdul Hakim","",""
"Christoph Lütge","http://dbpedia.org/resource/Helmstedt","http://dbpedia.org/resource/Helmstedt"
"Daniel Hutto","",""
"Ghislain Deslandes","",""
"Joanne Faulkner","",""
"Mari Ruti","",""
"Natalia Magnat","http://dbpedia.org/resource/Moscow","http://dbpedia.org/resource/Moscow"
"Paul Redding","",""
"Ramkrishna Bhattacharya","http://dbpedia.org/resource/Kolkata","Kolkata, India"
"Richard Grandy","",""
"Santiago Zabala","",""
"Abdel Rahman Badawi","",""
"Alasdair MacIntyre","",""
"Alexander Herzen","",""
"Auguste Comte","",""
