"Wikipage revision ID","label","Wikipage page ID"
"675712404","Anaheim GardenWalk","46954670"
"","Broadway Plaza (Walnut Creek)","46791124"
"","CentralPlaza WestGate",""
"676464722","Coastal City (Shopping Mall)","47045157"
"671549469","Flagstaff Mall","46812461"
"682538671","Jaya Shopping Centre","47858662"
"","Kotva",""
"674201674","Mall of Qatar","46451332"
"","Obchodní centrum Letňany",""
"662590219","Ocean Plaza","46432503"
"676172280","Robinsons Town Mall Malabon","46670986"
"","Swords Pavilions","46507854"
"","The Quays Newry",""
"683306980","Abdali Mall","47589896"
"683979307","Centro Comercial Angelópolis","45474430"
"","Moda Mall Bahrain",""
"675493914","Parkhurst Town Centre","47433598"
"","Terrasses du Port",""
"682963685","World Trade Park, Jaipur","47076533"
"675347143","East River Plaza","47459354"
