"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"683216617","Microlepia strigosa","47933770","http://www.hawaiiannativeplants.com/ourplants/palapalai/"
"672585920","星蕨","47252071",""
"675206646","光叶藤蕨","47218546",""
"681422886","Hypolepis poeppigii","47844640",""
"683576264","Phymatosorus scolopendria","47867820","http://digicoll.manoa.hawaii.edu/hawaiiflowers/Pages/viewtext.php?s=browse&tid=252"
"641011953","Cyathea incisoserrata","6209465",""
"","Adiantum aleuticum","",""
"681277192","オトメクジャク","27624381","http://www.efloras.org/florataxon.aspx?flora_id=101&taxon_id=242301260"
"","Pfauenrad-Frauenhaarfarn","",""
"593013705","连珠蕨","23237342",""
"","سرخس البلوط","",""
"","オオタニワタリ","",""
"","Asplenium bradleyi","",""
"681354644","Asplenium montanum","25233879","http://biodiversitylibrary.org/page/30816893"
"","Asplenium pinnatifidum","",""
"","Asplenium platyneuron","",""
"","革葉鐵角蕨","",""
"","Asplenium resiliens","35768750",""
"","Athyrium niponicum","",""
"","Botrychium ascendens","",""
