"Wikipage revision ID","lat m","lat d","label","Link from a Wikipage to an external page","Wikipage page ID","features"
"675803746","2","38","Cave of the Lakes","http://www.kastriacave.gr/","47437290","Lakes, stalactites and stalagmites"
"680013579","","","Jaskinia Niedźwiedzia (Sudety)","http://jaskinia.pl/jaskinia/en/index.php","47277438",""
"677116262","","","Cueva de Ajshtyr","http://sochived.info/chernomorskaya-zdravnitsa-160-ot-14-avgusta-1963-g/","47432021",""
"674667500","","","Arkaliospilio","","47429630","Stalactites and Stalagmites"
"676343854","","50.4004","Ash Hole Cavern","","47496043",""
"672742121","","","Boxhead Pot","http://www.cncc.org.uk/leck_fell.html","47262371",""
"672226975","","37","Cave of Zeus, Aydın","","47276981",""
"683611814","","","Death's Head Hole","http://www.cncc.org.uk/leck_fell.html","47246113",""
"675803739","","","Doxa (Cave)","","47429073","Curtains, Stalactites and Stalagmites"
"672742524","","","Long Drop Cave","http://www.cncc.org.uk/leck_fell.html","47272105",""
"678594026","","","Vrtare Male","http://www.mgc.hr/sites/default/files/files/katalog%20Lavlja%20jama_engleski.pdf","47475190",""
"","","","Yarımburgaz Cave","","",""
"681810162","","","Yagodinska cave","http://www.vlkomarov.info/yagodinska-peshtera.com/index.php?id=1","47075318",""
"","","","Бланш (пещера)","","",""
"","","","Blombos Cave","","",""
"643628048","","","Cave Stream","http://www.doc.govt.nz/parks-and-recreation/places-to-visit/canterbury/north-canterbury-and-arthurs-pass/cave-stream-scenic-reserve/","1240973",""
"","","","Gomantong Caves","","",""
"","","","Jenolan Caves","","",""
"","","","Kanheri Caves","","",""
"","","","Koonalda Cave","","",""
