"Geburtsdatum","Geburtsort","label","birth place"
"1970-06-16","http://dbpedia.org/resource/New_Brunswick","Gisèle Lagacé","http://dbpedia.org/resource/New_Brunswick"
"1983","http://dbpedia.org/resource/Oklahoma","Jen Vaughn","Washington"
"1978","","Kim Poong",""
"1983-05-30","","Jo Seok","http://dbpedia.org/resource/Yeongwol_County"
"1975-08-21","http://dbpedia.org/resource/Toronto","Kalman Andrasofzky","Toronto, Ontario"
"1982-03-02","","Lee Jong-beom (artist)","South Korea"
"","","Víctor Santos","http://dbpedia.org/resource/Valencia"
"","http://dbpedia.org/resource/Konya","Galip Tekin","http://dbpedia.org/resource/Konya"
"1975-03-02","http://dbpedia.org/resource/Reggio_Emilia","Giuseppe Camuncoli","http://dbpedia.org/resource/Reggio_Emilia"
"","","John M. Ganim","http://dbpedia.org/resource/Weehawken,_New_Jersey"
"","","Đorđe Lobačev",""
"","","Adi Granov",""
"","","Anthony Williams (comics)",""
"","","Arthur Wyatt",""
"","http://dbpedia.org/resource/Annemasse","Coco (dessinatrice)","http://dbpedia.org/resource/Annemasse"
"","","Dave Sim",""
"","","Dennis Worden",""
"","","Dori Seda",""
"","","Dudu Geva",""
"","","Frank Thomas (comics)",""
