"label","Geburtsort"
"List of Playboy Playmates of 1971","http://dbpedia.org/resource/Okinawa_Prefecture"
"Elizabeth Ann Roberts",""
"Kerissa Fare",""
"List of Playboy Playmates of 2014","http://dbpedia.org/resource/California"
"Pat Sheehan (model)",""
"Teri Hope",""
"Teri Peterson",""
"Vicki Iovine",""
"Адамс, Стефани",""
"Neva Gilbert",""
"April Summers",""
"Susan Kiger",""
"Hester Winkel","http://dbpedia.org/resource/Langedijk"
"Patricia McClain",""
"Cynthia Brimhall",""
"Cynthia Wood",""
"Janet Pilgrim (model)",""
"Lauren Anderson",""
"List of Playboy Playmates of 1970","http://dbpedia.org/resource/California"
"List of Playboy Playmates of 1983","http://dbpedia.org/resource/Buenos_Aires"
