"label","EntrezGene","abstract","Wikipage revision ID","Wikipage page ID"
"Biliverdin reductase A","644","Biliverdin reductase A is a protein that in humans is encoded by the BLVRA gene.","672686156","47314302"
"Biliverdin reductase B","645","Biliverdin reductase B is a protein that in humans is encoded by the BLVRB gene.","674583356","47314321"
"Cas1","","","674583340","47277243"
"Glutamic protease","","","681131237","47541940"
"HEMK1","51409","HemK methyltransferase family member 1 is a protein that in humans is encoded by the HEMK1 gene.","682811616","47931591"
"IMMP2L","83943","Inner mitochondrial membrane peptidase subunit 2 (IMMP2L) is an enzyme that in humans is encoded by the IMMP2L gene on chromosome 7. This  protein catalyzes the removal of transit peptides required for the targeting of proteins from the mitochondrial matrix, across the inner membrane, into the inter-membrane space. IMMP2L processes the nuclear encoded protein DIABLO.","683264804","47937847"
"KLHL2","11275","Kelch-like family member 2 is a protein that in humans is encoded by the KLHL2 gene.","674485024","47426536"
"Layilin","143903","Layilin is a protein that in humans is encoded by the LAYN gene.","674583292","47183833"
"PYCR2","29920","Pyrroline-5-carboxylate reductase family, member 2 is a protein that in humans is encoded by the PYCR2 gene.","674583329","47239595"
"Tia1 cytotoxic granule-associated rna binding protein","7072","TIA1 cytotoxic granule-associated RNA binding protein is a protein that in humans is encoded by the TIA1 gene.","674583303","47229439"
"Zinc finger protein 266","10781","Zinc finger protein 266 is a protein that in humans is encoded by the ZNF266 gene.","675434031","47425676"
"CFAP53","220136","Cilia and flagella associated protein 53 is a protein that in humans is encoded by the CFAP53 gene.","678605586","47657150"
"ESCO1","114799","Establishment of sister chromatid cohesion N-acetyltransferase 1 is a protein that in humans is encoded by the ESCO1 gene.","681547059","47856563"
"Erythroferrone","","","678585134","47641935"
"FAM122C","159091","Family with sequence similarity 122C is a protein that in humans is encoded by the FAM122C gene.","679355349","47715170"
"FJX1","24147","Four jointed box 1 is a protein that in humans is encoded by the FJX1 gene.","681530599","47854123"
"GMCL1","64395","Germ cell-less, spermatogenesis associated 1 is a protein that in humans is encoded by the GMCL1 gene.","681531209","47854213"
"HINT2","84681","Histidine triad nucleotide binding protein 2 (HINT2) is a mitochondrial protein that in humans is encoded by the HINT2 gene on chromosome 9. This protein is an AMP-lysine hydrolase and phosphoamidase and may contribute to tumor suppression.","682965984","47377849"
"LMTK3","114783","Lemur tyrosine kinase 3 is a protein that in humans is encoded by the LMTK3 gene.","683800559","48011421"
"MIR660","724030","MicroRNA 660 is a protein that in humans is encoded by the MIR660 gene.","683243482","47787628"
