"Wikipage revision ID","Wikipage page ID","engine","class","label","Link from a Wikipage to an external page"
"681953716","46588190","4","http://dbpedia.org/resource/Types_of_motorcycles","Bajaj Pulsar 200NS","http://www.bajajauto.com/pulsar200ns_index.asp"
"683348778","46222330","","","Suzuki Gixxer","http://suzukimotorcycle.co.in/mobile/gixxer_details.aspx"
"674744656","47438919","","","Hercules W 2000","http://auto.howstuffworks.com/1976-hercules-w2000.htm"
"674295997","47414576",", two stroke, single cylinder alloy head, Dell'Orto T5/11S Carburettor","","Lambretta 48",""
"683914764","47964864","110","http://dbpedia.org/resource/Motorcycle","Honda livo",""
"680341348","47113775","and  single cylinder four-stroke, electric and kick start","","Kymco Agility",""
"684000089","48016877","125.0","","Peugeot Satelis Compressor","http://maxitest.moto-station.com/scooter/peugeot-125-satelis-compressor-k15-2006-a-2012-998.htm"
"678232842","47602116","Air-cooled, 2-stroke single-cylinder; 97cc","Agricultural","Yamaha AG100",""
"671076275","47207684","247","http://dbpedia.org/resource/Grand_Prix_motorcycle_racing","Yamaha YD1",""
"","","","","Aprilia RSV Mille",""
"","","","","Can-Am Spyder",""
"","","","","BSA Lightning",""
"","","","","BSA Thunderbolt",""
"","","","","Bajaj Cub",""
"","","","","Cagiva Mito",""
"","","","","Dodge Tomahawk",""
"","","","","Gilera Runner",""
"","","","","Hero Honda Hunk",""
"651547325","3618539","","","Honda CN250","http://search.dmoz.org/cgi-bin/search?search=Honda+Helix+OR+Honda+Reflex&all=no&cat=&t=b"
"","","","","Honda Express",""
