"label","Wikipage page ID"
"Momma","3013433"
"Punaniska",""
"Sizinkiler",""
"Super School",""
"Bound and Gagged (comic strip)","22566465"
"Little Mary Mixup",""
"Vater und Sohn",""
"Venerdì 12","75443"
"Jar of Fools",""
"Macanudo",""
"Pirates of the Caribeano",""
"Vangsgutane","45707456"
"Cornered (comics)","12568123"
"Cucalón (comic strip)",""
"Dolly Dimples (comic strip)",""
"Doofus (comics)",""
"Dry Bones (comic strip)",""
"Genius (comics)",""
"Mary Perkins, On Stage",""
"X-Ray Specs (comic strip)",""
