"ImageFile","Wikipage page ID","imagesize","IUPACName","Wikipage revision ID","othernames","label"
"M-Dichlorbenzol.svg","47958278","120","13","683675729","m-Dichlorobenzene; meta-Dichlorobenzene","1,3-Dichlorobenzene"
"m-diisocianatobenceno.png","47753614","","13","681674747","m-Diisocyanatobenzene","1,3-Diisocyanatobenzene"
"C6H3Cl2NO2.png","47945635","","","683676085","","1,4-Dichloro-2-nitrobenzene"
"16","47895436","200","Bicyclo[4.4.1]undeca-1,3,5,7,9-pentaene","682771737","","1,6-Methano(10)annulene"
"1","47602799","250","","678085181","","1-Hydroxypyrene"
"tetramethyltetrahydrofuran.svg","47098007","150","2255","674512843","Tetrahydro-2,2,5,5-tetramethylfuran, 2,2,5,5-tetramethyloxolane, TMTHF, Me4THF","2,2,5,5-Tetramethyltetrahydrofuran"
"C6H3Cl2NH2.png","47952798","","25","683676532","","2,5-Dichloroaniline"
"2","47759167","200","2","681672799","2","2-Butoxyethanol acetate"
"","47941355","","","683006168","","2-Hydroxyazulene"
"20","47836404","","-20","683937623","20","20-Hydroxyeicosatetraenoic acid"
"34","47778259","120","","680428334","4","3,4-Dimethoxystyrene"
"35","47661839","","","682811995","","3,5-Diiodothyronine"
"","47941376","","","683006095","","3-Methylfuran"
"3","47566254","200","3","677120287","3","3α-Dihydroprogesterone"
"3","47566317","200","3","682020264","3","3β-Dihydroprogesterone"
"DAMBDSacid.png","47972269","","44","683937103","amsonic acid","4,4′-Diamino-2,2′-stilbenedisulfonic acid"
"4","47772816","200","","680686288","","4-Oxo-2-nonenal"
"Endoethenotetrahydrooripavine.svg","47638517","200","-7","678444737","","6,14-Endoethenotetrahydrooripavine"
"9","47622643","250","-9","680994952","α-Dimorphecolic acid","9-Hydroxyoctadecadienoic acid"
"Acrylophenone.png","47119979","250","1","677711094","Acrylophenone; Phenylvinyl Ketone","Acrylophenone"
